ToF,distance,ToF_sk,distance_sk
164,0.77,108,0.51
154,0.72,102,0.48
155,0.73,108,0.51
133,0.62,68,0.32
147,0.69,109,0.51
139,0.65,74,0.35
136,0.64,85,0.40
140,0.66,90,0.42
161,0.76,101,0.47
151,0.71,93,0.44
167,0.78,120,0.56
167,0.78,106,0.50
140,0.66,97,0.45
139,0.65,81,0.38
153,0.72,100,0.47
160,0.75,88,0.41
232,1.09,173,0.81
247,1.16,196,0.92
246,1.15,185,0.87
216,1.01,166,0.78
151,0.71,104,0.49
81,0.38,22,0.10
162,0.76,114,0.53
178,0.83,123,0.58
175,0.82,127,0.60
203,0.95,149,0.70
297,1.39,241,1.13
140,0.66,87,0.41
188,0.88,125,0.59
213,1.00,158,0.74
210,0.98,150,0.70
198,0.93,140,0.66
128,0.60,78,0.37
164,0.77,115,0.54
164,0.77,109,0.51
221,1.04,160,0.75
187,0.88,132,0.62
133,0.62,81,0.38
127,0.60,75,0.35
127,0.60,79,0.37
118,0.55,62,0.29
124,0.58,84,0.39
146,0.68,109,0.51
175,0.82,137,0.64
177,0.83,127,0.60
148,0.69,104,0.49
159,0.75,113,0.53
148,0.69,86,0.40
140,0.66,100,0.47
157,0.74,116,0.54
130,0.61,83,0.39
145,0.68,101,0.47
141,0.66,87,0.41
137,0.64,83,0.39
146,0.68,88,0.41
145,0.68,92,0.43
156,0.73,110,0.52
