512;2.40;475;2.23
513;2.41;475;2.23
497;2.33;468;2.20
520;2.44;498;2.34
522;2.45;503;2.36
493;2.31;466;2.19
511;2.40;480;2.25
505;2.37;468;2.20
538;2.52;513;2.41
527;2.47;512;2.40
547;2.57;516;2.42
493;2.31;459;2.15
544;2.55;508;2.38
530;2.49;501;2.35
545;2.56;522;2.45
516;2.42;487;2.28
498;2.34;485;2.27
534;2.50;500;2.35
481;2.26;453;2.12
488;2.29;468;2.20
544;2.55;516;2.42
529;2.48;491;2.30
533;2.50;483;2.27
528;2.48;499;2.34
495;2.32;467;2.19
499;2.34;474;2.22
509;2.39;482;2.26
529;2.48;513;2.41
508;2.38;478;2.24
476;2.23;449;2.11
484;2.27;442;2.07
493;2.31;450;2.11
546;2.56;518;2.43
491;2.30;457;2.14
518;2.43;479;2.25
528;2.48;501;2.35
516;2.42;471;2.21
530;2.49;495;2.32
537;2.52;488;2.29
527;2.47;490;2.30
557;2.61;522;2.45
479;2.25;436;2.04
557;2.61;544;2.55
534;2.50;503;2.36
552;2.59;524;2.46
570;2.67;535;2.51
539;2.53;507;2.38
520;2.44;482;2.26
476;2.23;443;2.08
486;2.28;440;2.06
534;2.50;500;2.35
513;2.41;480;2.25
489;2.29;452;2.12
492;2.31;454;2.13
502;2.35;475;2.23
508;2.38;483;2.27
497;2.33;460;2.16
481;2.26;448;2.10
496;2.33;457;2.14
505;2.37;476;2.23
507;2.38;487;2.28
488;2.29;461;2.16
492;2.31;463;2.17
505;2.37;476;2.23
463;2.17;420;1.97
456;2.14;429;2.01
512;2.40;474;2.22
484;2.27;454;2.13
519;2.43;477;2.24
472;2.21;445;2.09
463;2.17;441;2.07
448;2.10;416;1.95
495;2.32;459;2.15
468;2.20;431;2.02
489;2.29;469;2.20
511;2.40;467;2.19
510;2.39;472;2.21
496;2.33;460;2.16
525;2.46;479;2.25
492;2.31;460;2.16
471;2.21;456;2.14
528;2.48;504;2.36
486;2.28;460;2.16
506;2.37;484;2.27
509;2.39;485;2.27
497;2.33;468;2.20
523;2.45;490;2.30
545;2.56;507;2.38
517;2.42;486;2.28
511;2.40;479;2.25
536;2.51;508;2.38
528;2.48;506;2.37
484;2.27;437;2.05
522;2.45;493;2.31
480;2.25;455;2.13
513;2.41;484;2.27
491;2.30;457;2.14
487;2.28;461;2.16
480;2.25;456;2.14
511;2.40;488;2.29
490;2.30;454;2.13
496;2.33;471;2.21
507;2.38;471;2.21
522;2.45;490;2.30
489;2.29;447;2.10
481;2.26;452;2.12
501;2.35;469;2.20
479;2.25;447;2.10
506;2.37;476;2.23
488;2.29;466;2.19
499;2.34;482;2.26
487;2.28;460;2.16
476;2.23;443;2.08
498;2.34;481;2.26
524;2.46;494;2.32
539;2.53;515;2.42
541;2.54;526;2.47
559;2.62;537;2.52
515;2.42;495;2.32
554;2.60;526;2.47
505;2.37;480;2.25
523;2.45;497;2.33
548;2.57;525;2.46
524;2.46;497;2.33
529;2.48;508;2.38
537;2.52;507;2.38
525;2.46;502;2.35
516;2.42;493;2.31
500;2.35;469;2.20
503;2.36;494;2.32
516;2.42;493;2.31
533;2.50;500;2.35
485;2.27;466;2.19
507;2.38;473;2.22
524;2.46;498;2.34
501;2.35;479;2.25
491;2.30;472;2.21
484;2.27;459;2.15
482;2.26;450;2.11
508;2.38;481;2.26
500;2.35;470;2.20
518;2.43;500;2.35
487;2.28;474;2.22
556;2.61;545;2.56
535;2.51;507;2.38
549;2.57;527;2.47
506;2.37;481;2.26
491;2.30;457;2.14
519;2.43;492;2.31
472;2.21;451;2.12
479;2.25;438;2.05
490;2.30;464;2.18
558;2.62;537;2.52
515;2.42;484;2.27
615;2.88;589;2.76
567;2.66;554;2.60
577;2.71;541;2.54
535;2.51;516;2.42
541;2.54;511;2.40
487;2.28;451;2.12
524;2.46;494;2.32
477;2.24;459;2.15
534;2.50;534;2.50
546;2.56;523;2.45
494;2.32;466;2.19
541;2.54;522;2.45
495;2.32;482;2.26
549;2.57;525;2.46
502;2.35;474;2.22
525;2.46;495;2.32
530;2.49;513;2.41
505;2.37;468;2.20
533;2.50;494;2.32
525;2.46;503;2.36
548;2.57;526;2.47
566;2.65;542;2.54
550;2.58;519;2.43
530;2.49;502;2.35
528;2.48;511;2.40
548;2.57;537;2.52
485;2.27;471;2.21
